"id","Season","Opponents","Result","Shots_on_target_against","Goals_conceded","Saves","Save_percentage","Post_shot_expected_goals","Post_shot_expected_goals_without_conceded_goals","Passes_launched","Passes_attempted","Pass_completion_percent","Gk_passes_attempted_without_goal_kicks","Throws_attempted","Launch_percentage","Avg_length","Crosses_faced","Crosses_stopped","Crosses_stopped_percent","Def_actions_outside_pen_area","Avg_distance_of_def_actions"
130,"2019-2020","Leganés","W",3,0,3,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
131,"2019-2020","Levante","W",5,1,4,"80.0%",1.1,+0.1,4,4,"100.0%",45,4,"6.7%",18.4,10,10,"16.0%",11,1
132,"2019-2020","Athletic Club","L",2,1,1,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
133,"2019-2020","Betis","W",3,2,1,"66.7%",1.3,-0.7,3,9,"33.3%",51,4,"15.7%",26.6,2,50,"34.5%",2,0
134,"2019-2020","Getafe","W",2,1,1,"50.0%",0.9,-0.1,3,12,"25.0%",65,2,"16.9%",27.4,9,11.1,"17.0%",10,0
135,"2019-2020","Eibar","W",5,0,5,"100.0%",0.9,+0.9,5,12,"41.7%",59,10,"18.6%",24.1,6,16.7,"22.7%",11,0
136,"2019-2020","it Napoli","D",4,1,3,"75.0%",0.7,-0.3,1,6,"16.7%",25,3,"24.0%",30,2,0,"20.5%",8,0
137,"2019-2020","Real Madrid","L",4,2,2,"50.0%",0.6,-1.4,3,5,"60.0%",34,4,"14.7%",23.3,11,0,"19.0%",16,0
138,"2019-2020","Real Sociedad","W",1,0,1,"100.0%",0,0.0,4,14,"28.6%",42,6,"31.0%",29.4,10,10,"18.8%",10,1
139,"2019-2020","Mallorca","W",3,0,3,"100.0%",0.4,+0.4,4,8,"50.0%",69,7,"10.1%",22.3,7,14.3,"23.0%",17,1
140,"2019-2020","Leganés","W",1,0,1,"100.0%",0.1,+0.1,2,3,"66.7%",38,4,"5.3%",21.7,2,50,"34.5%",7,0
141,"2019-2020","Sevilla","D",4,0,4,"100.0%",0.7,+0.7,3,6,"50.0%",31,2,"19.4%",24.7,4,0,"8.3%",10,0
142,"2019-2020","Athletic Club","W",0,0,0,0,0,0.0,3,6,"50.0%",44,5,"9.1%",23.7,6,33.3,"36.8%",11,1
